"","yr","gear","awt","nf"
"1",1982,"Trawl survey",1.70700622528014,64053817
"2",1983,"Trawl survey",2.00071002794032,56736338
"3",1984,"Trawl survey",2.63262701788968,69713948
"4",1985,"Trawl survey",2.82152869112927,50970060
"5",1986,"Trawl survey",3.00666959632365,56556711
"6",1987,"Trawl survey",3.19542903727795,53830515
"7",1988,"Trawl survey",3.77751704944715,54845817
"8",1989,"Trawl survey",2.33275856087049,66816013
"9",1990,"Trawl survey",1.48859683421108,114297888
"10",1991,"Trawl survey",1.46285346178461,127394079
"11",1992,"Trawl survey",2.07883619485211,93890717
"12",1993,"Trawl survey",3.06283807128457,99692604
"13",1994,"Trawl survey",3.31206042121682,94985376
"14",1995,"Trawl survey",4.13152200281008,71440733
"15",1996,"Trawl survey",4.79285605217525,69097339
"16",1997,"Trawl survey",4.0426116630984,70473487
"17",1998,"Trawl survey",3.69927804285206,89329201
"18",1999,"Trawl survey",3.14445141466524,92814270
"19",2000,"Trawl survey",3.30841592239943,73159230
"20",2001,"Trawl survey",2.67721240142836,106414774
"21",2002,"Trawl survey",2.57404445198691,79155421
"22",2003,"Trawl survey",2.2163550969263,121077927
"23",2004,"Trawl survey",1.95894655705796,133563345
"24",2005,"Trawl survey",1.98681986960562,132457867
"25",2006,"Trawl survey",1.17173082432241,266895712
"26",2007,"Trawl survey",1.21914285560805,239078783
"27",2008,"Trawl survey",1.31727668791176,216395676
"28",2009,"Trawl survey",1.6880443798096,203897364
"29",2010,"Trawl survey",1.87016181997042,211732824
"30",2011,"Trawl survey",1.96388927137061,192406605
"31",2012,"Trawl survey",2.40496357111635,159218076
"32",2013,"Trawl survey",2.85898664103122,130147914
"33",2014,"Trawl survey",2.76554555489341,125507327
"34",2015,"Trawl survey",2.71370496661079,128494749
"35",1991,"Fixed",4.34288025934605,814.564899040686
"36",1991,"Trawl",1.41386752981056,5031.87050412937
"37",1992,"Fixed",4.49871830602707,1646.53761274099
"38",1992,"Trawl",1.59106421364459,3698.0687702868
"39",1993,"Fixed",3.74255452330819,826.100905342884
"40",1993,"Trawl",1.87371019712635,2826.12602424927
"41",1994,"Fixed",3.91412766858606,1949.33695219917
"42",1994,"Trawl",2.84660934826193,2188.93423988948
"43",1995,"Fixed",3.92320130237124,2028.68201159841
"44",1995,"Trawl",3.12676182376903,1759.45925531627
"45",1996,"Fixed",4.52397439736338,1741.98290436678
"46",1996,"Trawl",3.39786362247202,1622.03977038675
"47",1997,"Fixed",5.07403141030686,1573.25127191462
"48",1997,"Trawl",2.63203274211013,1899.52449299386
"49",1998,"Fixed",5.3014339729282,1364.03879533858
"50",1998,"Trawl",2.85097000181006,1632.90045389617
"51",1999,"Fixed",4.47110031598482,1180.67518438965
"52",1999,"Trawl",2.21929007218023,2190.9944585221
"53",2000,"Fixed",4.81136187734265,1562.65139302981
"54",2000,"Trawl",2.65650747941904,1656.94705702941
"55",2001,"Fixed",4.62714353509724,1555.59496164381
"56",2001,"Trawl",3.19375163315788,1368.52884695932
"57",2002,"Fixed",5.31603114475171,1273.52883300615
"58",2002,"Trawl",2.10133628695813,2266.68539422357
"59",2003,"Fixed",3.77911579387872,1329.09141223927
"60",2003,"Trawl",2.14108474111291,2314.21066649711
"61",2004,"Fixed",4.09687218789733,1336.39597512121
"62",2004,"Trawl",2.58581540534211,1847.58053494145
"63",2005,"Fixed",4.2663713860924,2428.58608213171
"64",2005,"Trawl",1.85439476729214,2646.72852189835
"65",2006,"Fixed",3.61471181939757,1350.95329654159
"66",2006,"Trawl",2.15985806896457,2217.20597314265
"67",2007,"Fixed",3.84947771948567,1315.98893790866
"68",2007,"Trawl",1.8097533706279,2565.88459560556
"69",2008,"Fixed",3.58396212080236,2333.99128497179
"70",2008,"Trawl",1.63382955679742,2231.63201640046
"71",2009,"Fixed",2.90133999838119,2108.57619702344
"72",2009,"Trawl",1.51565263160282,2441.38967922742
"73",2010,"Fixed",2.89795479394667,2082.73459436996
"74",2010,"Trawl",1.95531925686612,1823.13857581779
"75",2011,"Fixed",3.24941877994451,1768.58244275308
"76",2011,"Trawl",2.1383534552801,1536.99597360628
"77",2012,"Fixed",3.17598437424282,1975.85656973457
"78",2012,"Trawl",2.21368449232268,1789.59870081365
"79",2013,"Fixed",3.49215904611371,1669.50783809162
"80",2013,"Trawl",2.78238590797692,1378.60274534456
"81",2014,"Fixed",3.82929150611836,1311.47671013317
"82",2014,"Trawl",2.56622243043882,1457.91024135474
"83",2015,"Fixed",3.90762521834517,912.307820522438
"84",2015,"Trawl",1.99421992186609,1238.9401187498
