"","Year","1","2","3","4","5","6","7","8","9","10"
"1","1991",0.0647178238,0.143991256,0.285831903,0.4763462,0.604388244,0.72757859,0.838658917,0.873304053,1.013929617,1.126930891
"2","1992",0.0817280332,0.180940916,0.393811609,0.462008889,0.64725545,0.70067006,0.811723113,0.981875457,1.030570815,1.21031652
"3","1993",0.0804649043,0.310622612,0.497035451,0.610141739,0.649777526,0.753521793,0.903963795,1.039495496,1.21128119,1.2320326
"4","1994",0.03396,0.251456853,0.405266624,0.650682232,0.728499608,0.747232977,0.707364531,1.057313237,1.39452065,1.3474982
"5","1995",0,0.139621675,0.377089863,0.498154833,0.735324493,0.839973333,0.856337025,0.985669184,1.22018555,1.31482583
"6","1996",0,0.2718769992,0.322748603,0.42734275,0.678635925,0.793675533,0.948528529,0.952643075,1.020268667,1.095993765
"7","1997",0.0361,0.191568337,0.31503197,0.470676105,0.558501954,0.747383516,0.892715274,1.07220585,1.090543336,1.242880031
"8","1998",0.0201,0.185536491,0.368377661,0.588589129,0.627275875,0.62064389,0.775055372,1.029246329,1.16850284,1.25266839
"9","1999",0.0425433365,0.194977394,0.404737606,0.507373614,0.642725412,0.700532216,0.727927198,0.890782721,1.036612622,1.25007083
"10","2000",0,0.220385152,0.352708368,0.525784469,0.629242427,0.730682041,0.782001248,0.80583257,0.965791781,1.006531717
"11","2001",0,0.2746091646,0.326971191,0.503462526,0.669034879,0.787665955,0.957718258,0.986619565,1.06317947,1.115446482
"12","2002",0.0858881936,0.236500804,0.386081365,0.508992332,0.666138301,0.794988638,0.909736588,1.029499976,1.10393711,1.094826922
"13","2003",0,0.301202945,0.489288238,0.546559282,0.648934595,0.767045514,0.862457327,0.953267396,1.081378341,1.19979257
"14","2004",0,0.085717153,0.40901797,0.582701986,0.640260628,0.758458131,0.888571047,0.924111665,1.035294552,1.161821378
"15","2005",0,0.2690858126,0.346398556,0.508256027,0.641900918,0.741043085,0.881739431,0.953783844,1.062463184,1.09629841
"16","2006",0,0.184013962,0.30511706,0.447419531,0.605962064,0.754579594,0.852636744,0.952071579,1.064660379,1.11446828
"17","2007",0.0529846448,0.169384668,0.346450376,0.505952458,0.6410819,0.78121324,0.96184034,1.09794638,1.18186161,1.27493799
"18","2008",0,0.173294053,0.329653541,0.519574483,0.652285154,0.77404446,0.902674835,1.049082275,1.11853565,1.28179423
"19","2009",0,0.121627142,0.339597386,0.525923185,0.704469373,0.878851541,1.001725644,1.1254004,1.39856113,1.49005817
"20","2010",0.0501311712,0.175212808,0.382978687,0.489482591,0.664494102,0.915162656,1.11856036,1.2609021,1.37111288,1.5874197
"21","2011",0.0283899065,0.20313268,0.290411609,0.508684432,0.665114976,0.808472144,0.975735006,1.22470357,1.3464161,1.5176903
"22","2012",0,0.141472111,0.270360079,0.409638974,0.642711156,0.823719852,0.974379476,1.17166434,1.30618953,1.51921456
"23","2013",0.1112866801,0.1303952568,0.288558723,0.441975922,0.564243498,0.78199228,1.13146386,1.28395947,1.4259477,1.69200945
"24","2014",0,0.213423334,0.316313298,0.454641924,0.616959116,0.751001784,0.893501859,1.15415696,1.30999151,1.370274953
"25","2015",0,0.176360347,0.403077834,0.463025965,0.570501887,0.689736711,0.786016934,0.887238343,1.144517813,1.200508701
"26","2016",0,0.16824284,0.407264208,0.530868995,0.556847276,0.647694558,0.732191368,0.801260619,0.942785955,1.046683754
